sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
8136899,Plant Pioneers Southern Fried No Chicken Wrap,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneers-southern-fried-no-chicken-wrap,3.25,https://assets.sainsburys-groceries.co.uk/gol/8136899/1/640x640.jpg,"Wheat protein and pea protein spiced goujons, coleslaw, red pepper and red chilli sauce, lettuce and fried onion in a tortilla wrap","{'Mustard', 'Wheat'}",245,551,HIGH,MEDIUM,LOW,MEDIUM,3.2,551,22,5,11.2,4.8,70.5,9.3,61.5,5.6,15.1,1.71
8162889,"Sainsbury's Katsu Chicken, Autumn Edition",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-katsu-wrap,3.25,https://assets.sainsburys-groceries.co.uk/gol/8162889/1/640x640.jpg,"Chicken breast goujons in a breadcrumb coating, vegetables in vinegar, katsu curry sauce, mayonnaise and lettuce in a chilli tortilla wrap","{'Egg', 'Mustard', ' Barley', 'Soya', 'Barley', 'Wheat'}",210,463,MEDIUM,MEDIUM,LOW,MEDIUM,4.3,463,14.7,5.3,6.5,2.9,65.9,8.8,57.1,3.4,15.1,1.69
8163327,Sainsbury's Prawn Layer Salad,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-prawn-layer-salad,3.00,https://assets.sainsburys-groceries.co.uk/gol/8163327/1/640x640.jpg,"Cooked pasta, sweetcorn and cucumber in a Marie Rose sauce, topped with cooked prawns on a bed of lettuce and carrot","{'Egg', 'Mustard', 'Wheat', 'Crustacean'}",300,372,MEDIUM,LOW,LOW,MEDIUM,4.4,372,12.1,1.2,6.7,3.7,48.4,5.6,42.8,5.1,14.9,1.44
8052512,"Sainsbury's On the Go Mozzarella, Tomato & Basil Pasta Salad 225g",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-mozzarella-tomato-basil-pasta-salad-225g,3.00,https://assets.sainsburys-groceries.co.uk/gol/8052512/1/640x640.jpg,Cooked pasta in a tomato and basil dressing with mozzarella balls and spinach,"{'Milk', 'Mustard', 'Wheat'}",225,426,MEDIUM,MEDIUM,LOW,MEDIUM,4.1,426,15.7,4.1,7.2,3.5,54.7,8.9,45.7,3.8,14.8,0.8
7798442,Sainsbury's Vegan Falafel & Houmous Wrap,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-vegan-falafel-houmous-wrap,3.25,https://assets.sainsburys-groceries.co.uk/gol/7798442/1/640x640.jpg,"Falafel and houmous with red pepper, cucumber, chutney, carrot, spinach and mint dressing in a tortilla wrap","{'Sesame', 'Mustard', 'Wheat'}",240,452,MEDIUM,LOW,LOW,MEDIUM,4.4,452,11.8,2.9,5.5,3.4,69.4,11.5,57.8,8.4,13,1.18
8164283,Sainsbury's Pesto Pasta Salad,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pesto-pasta-salad,3.00,https://assets.sainsburys-groceries.co.uk/gol/8164283/1/640x640.jpg,"Cooked pasta, mixed peppers and slow roasted tomatoes in a mayonnaise and pesto dressing, topped with mozzarella cheese balls","{'Milk', 'Mustard', 'Wheat', 'Egg'}",225,337,MEDIUM,LOW,LOW,MEDIUM,4.3,337,13.5,2.5,7,3.3,40.7,3.9,36.8,3.7,11.4,1.77
7282644,Sainsbury's Potato & Egg Salad with a Salad Cream Dressing 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-potato---egg-salad-290g,2.75,https://assets.sainsburys-groceries.co.uk/gol/7282644/1/640x640.jpg,"Cooked potato, lettuce, hard-boiled egg, cherry tomatoes, cucumber and spring onion with a pot of salad cream","{'Egg', 'Mustard'}",300,244,MEDIUM,LOW,LOW,LOW,3.1,244,13.8,2.3,7.6,3.4,19,9.1,,2.8,9.6,0.48
7871910,Sainsbury's On the Go Greek Style Yogurt with Mixed Berry Compote & Crispy Granola 210g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-berry-granola-yogurt-210g,1.75,https://assets.sainsburys-groceries.co.uk/gol/7871910/1/640x640.jpg,"Greek style yogurt, blackberry, strawberry and blackcurrant compote, crispy oat granola with sugar and sweetener","{'Milk', 'Barley', 'Wheat', 'Oat'}",210,236,MEDIUM,MEDIUM,MEDIUM,LOW,3.5,236,6.7,3.6,1.9,0.8,33.8,17.4,16.2,1.9,9.2,0.36
8214222,Sainsbury's Mixed Berry Bircher with Greek Style Yogurt 190g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-mixed-berry-bircher-with-greek-style-yogurt-190g,2.20,https://assets.sainsburys-groceries.co.uk/gol/8214222/1/640x640.jpg,"Reduced fat Greek style yogurt, rolled oats with mixed berry compote","{'Milk', 'Oat'}",190,257,LOW,LOW,MEDIUM,LOW,,257,4.9,1.6,,,42.6,14.3,28.3,4.3,8.6,0.1
8214220,Sainsbury's Apple & Cinnamon Bircher with Greek Style Yogurt 190g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apple-cinnamon-bircher-with-greek-style-yogurt-190g,2.20,https://assets.sainsburys-groceries.co.uk/gol/8214220/1/640x640.jpg,"Reduced fat Greek style yogurt, rolled oats with apple and cinnamon sauce","{'Milk', 'Oat'}",190,244,LOW,LOW,MEDIUM,LOW,,244,4.4,1.4,,,41.5,16.8,24.7,3.9,7.6,0.1
