sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
8053895,Sainsbury's On the Go Free Range Egg Protein Pot Meal Snack 90g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-free-range-egg-protein-pot-meal-snack-90g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8053895/1/640x640.jpg,Free range hard boiled eggs,{'Egg'},90,127,MEDIUM,MEDIUM,LOW,LOW,4.5,127,8.2,2.6,,,1.2,0.5,,0.5,12,0.18
7845000,Sainsbury's Sweet Potato Bhaji 64g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweet-potato-bhaji-64g,1.30,https://assets.sainsburys-groceries.co.uk/gol/7845000/1/640x640.jpg,"Indian spiced snacks made with sweet potato, red onion and black onion seeds",,64,125,MEDIUM,LOW,MEDIUM,MEDIUM,3.6,125,4.5,0.4,2.6,1.3,16.1,3.7,12.4,3.3,3.4,0.36
8133323,Popworks Sweet & Salty Popped Crisps 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/popworks-sweet-salty-popped-crisps-28g,1.10,https://assets.sainsburys-groceries.co.uk/gol/8133323/1/640x640.jpg,Sweet & Salty Popped-Corn Snack,,28,125,MEDIUM,LOW,MEDIUM,MEDIUM,4.4,,,,,,,,,,,
8103909,Graze Snack Box Marmite Crunch Mix 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-marmite-crunch-28g,1.20,https://assets.sainsburys-groceries.co.uk/gol/8103909/1/640x640.jpg,"Broad beans, roasted corn and corn hoops in a yeast extract seasoning",,28,123,,,,,4.4,,,,,,,,,,,
3654316,Kinder Bueno Milk Chocolate & Hazelnuts Single Bar 2x21.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kinder-bueno-43g,1.00,https://assets.sainsburys-groceries.co.uk/gol/3654316/1/640x640.jpg,Milk Chocolate Covered Wafer with Smooth Milky and Hazelnut Filling,,43,122,,,,,4.9,,,,,,,,,,,
7944192,Sainsbury's On The Go Vegetable Samosas x2,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-vegetable-samosa,1.30,https://assets.sainsburys-groceries.co.uk/gol/7944192/1/640x640.jpg,"Potato, peas and carrots flavoured with ginger and spices encased in a poppy seed pastry",{'Wheat'},50,121,MEDIUM,LOW,LOW,MEDIUM,2.9,121,5.8,0.8,3.3,1.5,14.1,1.4,12.7,1.5,2.6,0.23
7800552,Cadbury Mini Rolls Milk Chocolate On The Go x2,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-mini-milk-chocolate-rolls-x2,1.10,https://assets.sainsburys-groceries.co.uk/gol/7800552/1/640x640.jpg,"Chocolate flavoured sponge with a vanilla flavour filling, covered with milk chocolate.",,50,120,,,,,4.8,,,,,,,,,,,
7923322,Sainsbury's On the Go Salt & Vinegar Chickpeas 50g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-salt-vinegar-chickpeas-50g,1.05,https://assets.sainsburys-groceries.co.uk/gol/7923322/1/640x640.jpg,Sea salt and cider vinegar flavoured crispy coated chickpeas,"{'Wheat', 'Barley'}",50,119,HIGH,MEDIUM,LOW,HIGH,4.3,119,6.4,0.4,4,1.7,12,0.9,11.1,2.7,2.3,0.47
8081836,Kinder Medium Chocolate Multipack Bars 2x21g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kinder-medium-chocolate-multipack-bars-2x21g,0.85,https://assets.sainsburys-groceries.co.uk/gol/8081836/1/640x640.jpg,Fine Milk Chocolate with a Milky Filling,,42,119,,,,,4.5,,,,,,,,,,,
6662001,Kellogg's Rice Krispies Squares Marshmallow 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kelloggs-rice-krispies-squares-marshmallow-28g,0.95,https://assets.sainsburys-groceries.co.uk/gol/6662001/1/640x640.jpg,Rice Cereal Bar with a Marshmallow Flavoured Coating.,,28,119,,,,,4.8,,,,,,,,,,,
3554562,Jacob's Mini Cheddars Original Crisps 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mini-cheddars--original-50g,1.00,https://assets.sainsburys-groceries.co.uk/gol/3554562/1/640x640.jpg,Cheese Snack Biscuits,,45,116,,,,,4.8,,,,,,,,,,,
2517230,Cadbury Twirl Chocolate Bar Single 43g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-twirl-43g,1.05,https://assets.sainsburys-groceries.co.uk/gol/2517230/1/640x640.jpg,2 Milk Chocolate Fingers.,,43,114,,,,,4.8,,,,,,,,,,,
8036046,Cadbury Twirl Orange Chocolate Bar 43g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-twirl-orange-chocolate-bar-43g,1.05,https://assets.sainsburys-groceries.co.uk/gol/8036046/1/640x640.jpg,2 Orange Flavoured Milk Chocolate Fingers.,,43,114,,,,,4.8,,,,,,,,,,,
7858125,Peperami Single Hot 22.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/peperami-single-hot-225g,1.30,https://assets.sainsburys-groceries.co.uk/gol/7858125/1/640x640.jpg,Hot smoked pork salami sausage.,,22.5,112,,,,,3.8,,,,,,,,,,,
7858180,Peperami Original 22.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/peperami-original-225g-7858180-p-44,1.30,https://assets.sainsburys-groceries.co.uk/gol/7858180/1/640x640.jpg,Smoked pork salami sausage.,,22.5,112,,,,,4.4,,,,,,,,,,,
